Date,Open,High,Low,Close,Volume,Market Cap
"Aug 16, 2017",4200.34,4381.23,3994.42,4376.63,2272040000,69342700000
"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93,3258050000,71425500000
"Aug 14, 2017",4066.1,4325.13,3989.16,4325.13,2463090000,67112300000
"Aug 13, 2017",3880.04,4208.39,3857.8,4073.26,3159090000,64034100000
"Aug 12, 2017",3650.63,3949.92,3613.7,3884.71,2219590000,60242100000
"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62,2021190000,55668000000
"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28,1515110000,55134700000
"Aug 09, 2017",3420.4,3422.76,3247.67,3342.47,1468960000,56424900000
"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94,1752760000,55590300000
"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94,1482280000,52987300000
"Aug 06, 2017",3257.61,3293.29,3155.6,3213.94,1105030000,53720900000
"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91,1945700000,47778200000
"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89,1002120000,46276200000
"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73,804797000,44666400000
"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67,1094950000,44950800000
"Aug 01, 2017",2871.3,2921.35,2685.61,2718.26,1324670000,47321800000
"Jul 31, 2017",2763.24,2889.62,2720.61,2875.34,860575000,45535800000
"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18,705943000,44890700000
"Jul 29, 2017",2807.02,2808.76,2692.8,2726.45,803746000,46246700000
"Jul 28, 2017",2679.73,2897.45,2679.73,2809.01,1380100000,44144400000
"Jul 27, 2017",2538.71,2693.32,2529.34,2671.78,789104000,41816500000
"Jul 26, 2017",2577.77,2610.76,2450.8,2529.45,937404000,42455000000
"Jul 25, 2017",2757.5,2768.08,2480.96,2576.48,1460090000,45410100000
"Jul 24, 2017",2732.7,2777.26,2699.19,2754.86,866474000,44995600000
"Jul 23, 2017",2808.1,2832.18,2653.94,2730.4,1072840000,46231100000
"Jul 22, 2017",2668.63,2862.42,2657.71,2810.12,1177130000,43929600000
"Jul 21, 2017",2838.41,2838.41,2621.85,2667.76,1489450000,46719000000
"Jul 20, 2017",2269.89,2900.7,2269.89,2817.6,2249260000,37356800000
"Jul 19, 2017",2323.08,2397.17,2260.23,2273.43,1245100000,38227800000
"Jul 18, 2017",2233.52,2387.61,2164.77,2318.88,1512450000,36749400000
"Jul 17, 2017",1932.62,2230.49,1932.62,2228.41,1201760000,31795000000
"Jul 16, 2017",1991.98,2058.77,1843.03,1929.82,1182870000,32767600000
"Jul 15, 2017",2230.12,2231.14,1990.41,1998.86,993608000,36681300000
"Jul 14, 2017",2360.59,2363.25,2183.22,2233.34,882503000,38823100000
"Jul 13, 2017",2402.7,2425.22,2340.83,2357.9,835770000,39511000000
"Jul 12, 2017",2332.77,2423.71,2275.14,2398.84,1117410000,38355900000
"Jul 11, 2017",2385.89,2413.47,2296.81,2337.79,1329760000,39224200000
"Jul 10, 2017",2525.25,2537.16,2321.13,2372.56,1111200000,41509000000
"Jul 09, 2017",2572.61,2635.49,2517.59,2518.44,527856000,42283200000
"Jul 08, 2017",2520.27,2571.34,2492.31,2571.34,733330000,41417700000
"Jul 07, 2017",2608.59,2916.14,2498.87,2518.66,917412000,42864200000
"Jul 06, 2017",2608.1,2616.72,2581.69,2608.56,761957000,42851400000
"Jul 05, 2017",2602.87,2622.65,2538.55,2601.99,941566000,42760800000
"Jul 04, 2017",2561,2631.59,2559.35,2601.64,985516000,42067900000
"Jul 03, 2017",2498.56,2595,2480.47,2564.06,964112000,41037200000
"Jul 02, 2017",2436.4,2514.28,2394.84,2506.47,803747000,40010500000
"Jul 01, 2017",2492.6,2515.27,2419.23,2434.55,779914000,40928200000
"Jun 30, 2017",2539.24,2559.25,2478.43,2480.84,860273000,41689100000
"Jun 29, 2017",2567.56,2588.83,2510.48,2539.32,949979000,42150300000
"Jun 28, 2017",2553.03,2603.98,2484.42,2574.79,1183870000,41906700000
"Jun 27, 2017",2478.45,2552.45,2332.99,2552.45,1489790000,40677900000
"Jun 26, 2017",2590.57,2615.25,2376.29,2478.45,1663280000,42514000000
"Jun 25, 2017",2607.25,2682.26,2552.12,2589.41,1161100000,42783800000
"Jun 24, 2017",2738.52,2757.94,2583.19,2608.72,982750000,44932900000
"Jun 23, 2017",2707.34,2765.17,2706.37,2744.91,961319000,44415900000
"Jun 22, 2017",2691.03,2723.74,2642.36,2705.41,1097940000,44143700000
"Jun 21, 2017",2709.43,2772.01,2660.4,2689.1,1626580000,44440800000
"Jun 20, 2017",2591.26,2763.45,2589.82,2721.79,1854190000,42498000000
"Jun 19, 2017",2549.03,2662.85,2549.03,2589.6,1446840000,41800600000
"Jun 18, 2017",2655.35,2662.1,2516.33,2548.29,1178660000,43539300000
"Jun 17, 2017",2514.01,2685.19,2484.96,2655.88,1534510000,41217200000
"Jun 16, 2017",2469.57,2539.92,2385.15,2518.56,1195190000,40484100000
"Jun 15, 2017",2499.58,2534.71,2212.96,2464.58,2026260000,40971300000
"Jun 14, 2017",2716.88,2786.83,2412.94,2506.37,1696560000,44528300000
"Jun 13, 2017",2680.91,2789.04,2650.38,2717.02,1781200000,43934100000
"Jun 12, 2017",2953.22,2997.26,2518.56,2659.63,2569530000,48391200000
"Jun 11, 2017",2942.41,2996.6,2840.53,2958.11,1752400000,48208700000
"Jun 10, 2017",2828.14,2950.99,2746.55,2947.71,2018890000,46331400000
"Jun 09, 2017",2807.44,2901.71,2795.62,2823.81,1348950000,45987100000
"Jun 08, 2017",2720.49,2815.3,2670.95,2805.62,1281170000,44557100000
"Jun 07, 2017",2869.38,2869.38,2700.56,2732.16,1517710000,46989800000
"Jun 06, 2017",2690.84,2999.91,2690.84,2863.2,2089610000,44061000000
"Jun 05, 2017",2512.4,2686.81,2510.22,2686.81,1369310000,41133900000
"Jun 04, 2017",2547.79,2585.89,2452.54,2511.81,1355120000,41708200000
"Jun 03, 2017",2493.72,2581.91,2423.57,2515.35,1514950000,40817100000
"Jun 02, 2017",2404.03,2488.55,2373.32,2488.55,1317030000,39344600000
"Jun 01, 2017",2288.33,2448.39,2288.33,2407.88,1653180000,37446200000
"May 31, 2017",2187.19,2311.08,2145.57,2286.41,1544830000,35786700000
"May 30, 2017",2255.36,2301.96,2124.57,2175.47,1443970000,36897000000
"May 29, 2017",2159.43,2307.05,2107.17,2255.61,994625000,35323500000
"May 28, 2017",2054.08,2267.34,2054.08,2155.8,1147140000,33595900000
"May 27, 2017",2196.27,2260.2,1855.83,2038.87,1700480000,35917100000
"May 26, 2017",2320.89,2573.79,2071.99,2202.42,1763480000,37950600000
"May 25, 2017",2446.24,2763.71,2285.3,2304.98,2406700000,39995400000
"May 24, 2017",2321.37,2523.72,2321.37,2443.64,1725380000,37949200000
"May 23, 2017",2191.56,2320.82,2178.5,2320.42,1378750000,35822600000
"May 22, 2017",2043.19,2303.9,2017.87,2173.4,1942220000,33393600000
"May 21, 2017",2067.03,2119.08,2037.5,2041.2,1147860000,33779400000
"May 20, 2017",1984.24,2084.73,1974.92,2084.73,961336000,32422400000
"May 19, 2017",1897.37,2004.52,1890.25,1987.71,1157290000,30999000000
"May 18, 2017",1818.7,1904.48,1807.12,1888.65,894321000,29710500000
"May 17, 2017",1726.73,1864.05,1661.91,1839.09,1064730000,28204800000
"May 16, 2017",1741.7,1785.94,1686.54,1734.45,959045000,28446300000
"May 15, 2017",1808.44,1812.8,1708.54,1738.43,731529000,29532600000
"May 14, 2017",1800.86,1831.42,1776.62,1808.91,437196000,29405100000
"May 13, 2017",1723.12,1812.99,1651.08,1804.91,579635000,28132300000
"May 12, 2017",1845.76,1856.15,1694.01,1724.24,740984000,30131100000
"May 11, 2017",1780.37,1873.93,1755.35,1848.57,799490000,29060600000
"May 10, 2017",1756.52,1788.44,1719.1,1787.13,915723000,28668100000
"May 09, 2017",1723.89,1833.49,1716.3,1755.36,1167920000,28132200000
"May 08, 2017",1596.92,1723.35,1596.92,1723.35,1340320000,26056500000
"May 07, 2017",1579.47,1596.72,1559.76,1596.71,1080030000,25768500000
"May 06, 2017",1556.81,1578.8,1542.5,1578.8,582530000,25395600000
"May 05, 2017",1540.87,1618.03,1530.31,1555.45,946036000,25133100000
"May 04, 2017",1490.72,1608.91,1490.72,1537.67,933549000,24311900000
"May 03, 2017",1453.78,1492.77,1447.49,1490.09,583796000,23707100000
"May 02, 2017",1421.03,1473.9,1415.69,1452.82,477338000,23170200000
"May 01, 2017",1348.3,1434.32,1348.3,1421.6,713624000,21981800000
"Apr 30, 2017",1321.87,1347.91,1314.92,1347.89,413115000,21548400000
"Apr 29, 2017",1317.84,1327.2,1315.21,1321.79,422706000,21479800000
"Apr 28, 2017",1317.74,1331.28,1292.37,1316.48,527489000,21476000000
"Apr 27, 2017",1281.88,1319.7,1281.3,1317.73,449197000,20889200000
"Apr 26, 2017",1265.99,1294.83,1265.93,1281.08,329631000,20627900000
"Apr 25, 2017",1250.45,1267.58,1249.97,1265.49,242556000,20372300000
"Apr 24, 2017",1209.63,1250.94,1209.63,1250.15,235806000,19705400000
"Apr 23, 2017",1231.92,1232.2,1203.94,1207.21,258951000,20066200000
"Apr 22, 2017",1222.71,1235.56,1208.47,1231.71,249320000,19913900000
"Apr 21, 2017",1229.42,1235.94,1215.56,1222.05,272167000,20020700000
"Apr 20, 2017",1211.08,1240.79,1208.41,1229.08,315108000,19719900000
"Apr 19, 2017",1212.13,1215.51,1205.08,1210.29,288061000,19734800000
"Apr 18, 2017",1193.77,1217.57,1193.77,1211.67,270524000,19433800000
